nombre,iniciales_equipo,edad,altura_cm,peso_kg,pais,part_jug,pts,reb,ast,blk,stl,pct_tiro,temporada
Aaron Holiday,IND,23.0,182.88,83.91452,USA,56,9.6,2.3,3.3,0.0,0.0,0.524,2019-20
Abdel Nader,OKC,26.0,195.58,102.0582,Egypt,47,6.0,1.9,0.7,0.0,0.0,0.578,2019-20
Adam Mokoka,CHI,21.0,195.58,86.18248,France,11,2.9,0.9,0.4,0.0,0.0,0.5379999999999999,2019-20
Admiral Schofield,WAS,22.0,195.58,109.31567199999999,United Kingdom,26,3.2,1.3,0.5,0.0,0.0,0.514,2019-20
Al Horford,PHI,33.0,205.74,108.86208,Dominican Republic,59,11.9,6.8,4.0,0.0,0.0,0.52,2019-20
Al-Farouq Aminu,ORL,29.0,203.2,99.79024,USA,18,4.3,4.8,1.2,0.0,0.0,0.395,2019-20
Alec Burks,PHI,28.0,198.12,97.068688,USA,58,15.2,4.4,2.9,0.0,0.0,0.5489999999999999,2019-20
Alen Smailagic,GSW,19.0,208.28,97.52228,Serbia,14,4.2,1.9,0.9,0.0,0.0,0.61,2019-20
Alex Caruso,LAL,26.0,195.58,84.368112,USA,56,5.6,2.0,1.8,0.0,0.0,0.5429999999999999,2019-20
Alex Len,SAC,26.0,213.36,113.398,Ukraine,48,8.2,6.0,1.0,1.0,2.0,0.5920000000000001,2019-20
Alfonzo McKinnie,CLE,27.0,200.66,97.52228,USA,38,4.4,2.8,0.3,0.0,0.0,0.486,2019-20
Alize Johnson,IND,23.0,200.66,96.161504,USA,13,1.4,1.4,0.2,0.0,0.0,0.51,2019-20
Allen Crabbe,MIN,27.0,195.58,96.161504,USA,37,4.6,2.1,0.9,0.0,0.0,0.47,2019-20
Allonzo Trier,NYK,24.0,193.04,90.7184,USA,24,6.5,1.2,1.2,0.0,0.0,0.62,2019-20
Amile Jefferson,ORL,26.0,205.74,100.697424,USA,18,0.8,1.3,0.2,0.0,0.0,0.3720000000000001,2019-20
Amir Coffey,LAC,22.0,200.66,95.25431999999999,USA,11,2.4,1.2,0.7,0.0,0.0,0.443,2019-20
Andre Drummond,CLE,26.0,208.28,126.552168,USA,55,17.5,15.3,2.7,1.0,4.0,0.5489999999999999,2019-20
Andre Iguodala,MIA,36.0,198.12,97.52228,USA,12,4.8,4.1,1.8,0.0,0.0,0.563,2019-20
Andrew Wiggins,GSW,25.0,200.66,89.357624,Canada,53,21.8,5.1,3.7,0.0,0.0,0.535,2019-20
Anfernee Simons,POR,20.0,190.5,82.10015200000002,USA,64,8.9,2.3,1.5,0.0,2.0,0.504,2019-20
Ante Zizic,CLE,23.0,208.28,120.655472,Croatia,22,4.4,3.0,0.3,0.0,0.0,0.597,2019-20
Anthony Davis,LAL,26.0,208.28,114.758776,USA,53,26.6,9.5,3.2,2.0,1.0,0.613,2019-20
Anthony Tolliver,MEM,34.0,203.2,108.86208,USA,46,3.5,2.9,0.7,0.0,0.0,0.493,2019-20
Antonius Cleveland,DAL,26.0,195.58,88.45044,USA,6,0.8,0.5,0.0,0.0,0.0,0.363,2019-20
Anzejs Pasecniks,WAS,24.0,218.44,103.872568,Latvia,23,6.3,4.3,0.7,0.0,0.0,0.5589999999999999,2019-20
